sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq55,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
sq56,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,326,0,0,0,53,0,10,0,11,0,0,0,0,0,0,73,0,0,0,0,0,0,0,86,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,6,0,0,0,5,0,0,0,134,0
sq57,0,0,64,572,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq59,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,157,94,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,127,0,0
sq60,0,0,7,6,10,0,0,0,0,0,27,0,0,9,122,0,0,29,0,0,0,0,7,0,30,0,0,0,0,0,10,0,82,25,0,0,0,0,0,0,78,29,3,0,0,0,52,0,0,0,0,27,0,0,0,8,0,26,13,20,0,0,9,0,11,22,21,0,19,0,0,32,37,0,6,0,0,17,19,0,0,0,22,0
sq61,2,0,17,5,0,0,5,0,4,0,19,0,4,0,0,14,16,0,24,39,3,0,0,0,55,17,21,8,12,6,0,0,13,0,11,0,0,0,0,48,0,0,6,2,41,96,5,0,0,0,9,23,7,8,0,8,0,4,13,36,0,36,62,0,10,0,0,8,0,0,0,0,0,0,18,0,14,0,0,6,74,18,0,0
sq63,0,0,0,0,0,0,0,0,0,0,25,0,0,0,232,0,0,0,0,0,11,0,0,0,27,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,52,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
sq65,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,308,220,0,0,0,0,0,0,5,0,0,0,150,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
sq67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,9,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,111,0,453,0,0,0,0,0,0
sq68,25,27,4,12,0,0,0,0,5,11,0,8,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,39,9,10,0,0,0,0,0,18,18,0,0,0,39,0,11,0,5,0,0,17,0,11,0,16,0,0,10,38,0,0,0,10,0,0,74,0,10,0,0,6,4,0,0,7,0,14,9,0,46,0,2,0,0
sq70,0,24,0,37,0,0,0,0,23,145,0,0,0,0,0,0,0,0,0,20,2,8,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,12,56,0,0,0,0,0,0
