sq_OTU,A1,A10,A11,A12,A2,A3,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
sq49,0,0,0,0,0,0,0,0,0,0,291,155,251,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,305,0,0,0,0,0,0,294,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,119,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,188
sq50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,915,705,0,0,0,0,0,0,0,5,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq51,0,0,0,31,47,79,0,0,80,0,11,0,0,56,0,0,38,0,0,0,27,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,166,0,0,33,0,0,321,0,0,0,0,43,0,0,0,70,0,10,0,43,0,0,26,128,51,0,0,0,0,105,0,0,0,0,37,59,0,0,37,10,106,21,0,99,61,0,218,0,0,0,0,0,0,0,0
sq52,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,48,0,192,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0
sq53,0,31,136,258,0,0,26,0,0,0,0,0,240,122,10,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,67,56,0,0,19,0,0,0,0,0,119,17,46,0,0,0,0,0,0,0,0,0,0,15,95,0,0,0,0,70,0,0,0,0,0,0,193,0,0,0,0,31,0,0,0,0,0,302,0,0,0,0,0,27,0,0,18
sq54,0,161,76,0,0,0,30,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,426,7,0,0,0,0,34,0,29,0,0,0,0,60,128,0,0,0,0,0,0,0,0,0,87,56,0,0,0,0,0,0,0,0,0,131,0,57,0,0,0,0,0,0,0,0,0,0,0,0,163,0,74,0,151,0,0,0,0,42,0,76,0,0,0,0,0,0,0,50,0
sq55,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq56,0,0,0,0,0,49,0,0,0,0,23,0,0,0,0,0,444,0,0,0,0,0,91,0,25,0,0,29,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,119,0,0,0,0,0,260,0,0,0,0,0,87,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,23,0,0,0,14,0,0,0,0,0,140,0
sq57,0,0,246,1454,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq59,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,227,117,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,236,0,0
